TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,SEASON
1610612744,Golden State Warriors,82,73,9,0.89,48.5,17.1,12.2,20.9,44.6,16.6,13.8,14.5,45.1,1,1,1,1,5,10,21,1,9,21,22,23,25,2015-16
1610612739,Cleveland Cavaliers,82,51,31,0.622,48.5,14.6,11.5,12.9,39.5,16.6,13.7,13.3,44.5,1,5,5,5,4,27,22,15,29,19,24,15,19,2016-17
1610612744,Golden State Warriors,82,67,15,0.817,48.2,19.3,12.6,22.6,46.6,16.7,14.0,14.4,45.4,1,1,1,1,18,1,18,1,7,20,28,25,23,2016-17
1610612739,Cleveland Cavaliers,82,50,32,0.61,48.1,16.1,11.2,12.5,44.2,16.5,12.7,11.3,47.0,1,6,6,6,23,19,26,13,15,17,15,12,21,2017-18
1610612744,Golden State Warriors,82,58,24,0.707,48.1,17.3,10.3,19.3,44.1,18.5,13.7,14.1,47.4,1,3,3,3,23,7,30,1,16,27,29,25,25,2017-18
1610612744,Golden State Warriors,82,57,25,0.695,48.3,16.3,12.5,19.1,43.2,17.4,13.8,15.1,47.1,1,3,3,3,15,15,22,3,28,25,21,24,7,2018-19
1610612761,Toronto Raptors,82,58,24,0.707,48.5,17.2,12.7,18.4,48.5,15.9,12.9,13.5,47.5,1,2,2,2,4,9,21,4,19,11,11,13,9,2018-19
1610612747,Los Angeles Lakers,71,52,19,0.732,48.1,19.0,14.1,18.4,52.8,17.4,12.0,16.5,45.8,21,3,2,3,22,3,6,2,2,20,5,30,8,2019-20
1610612748,Miami Heat,73,44,29,0.603,48.6,16.2,11.8,11.3,43.9,17.9,12.8,11.4,44.1,3,8,11,11,3,20,27,24,28,25,14,2,5,2019-20
1610612749,Milwaukee Bucks,72,46,26,0.639,48.1,16.3,13.2,14.5,48.8,15.9,13.0,10.7,43.1,1,7,7,7,22,16,12,4,12,12,14,3,3,2020-21
1610612756,Phoenix Suns,72,51,21,0.708,48.6,16.1,12.9,13.1,45.3,14.8,12.4,12.0,47.4,1,2,2,2,1,18,17,12,22,4,13,13,15,2020-21
1610612738,Boston Celtics,82,51,31,0.622,48.5,16.3,13.0,11.1,46.5,15.2,12.5,11.5,42.5,1,6,6,6,2,13,16,21,17,7,5,8,2,2021-22
1610612744,Golden State Warriors,82,53,29,0.646,48.1,17.6,12.6,13.8,44.7,16.9,12.7,12.3,43.9,1,3,3,3,24,6,18,7,25,21,9,18,5,2021-22
1610612743,Denver Nuggets,82,53,29,0.646,48.2,15.9,13.0,16.2,55.0,17.4,13.4,13.7,52.5,1,4,4,4,25,22,20,5,4,19,14,14,21,2022-23
1610612748,Miami Heat,82,44,38,0.537,48.3,18.2,12.9,11.5,46.4,15.9,12.0,12.5,46.2,1,11,11,11,18,6,21,28,24,10,3,4,2,2022-23
1610612738,Boston Celtics,82,64,18,0.78,48.4,15.5,14.5,15.3,47.0,13.3,13.6,13.0,47.7,1,1,1,1,7,24,10,10,27,1,10,4,9,2023-24
1610612742,Dallas Mavericks,82,50,32,0.61,48.1,16.5,13.4,15.8,47.4,15.1,14.3,15.7,51.0,1,6,6,6,26,13,20,8,24,7,24,26,20,2023-24
