TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612738,Boston Celtics,24,15,9,0.625,1157.0,101.9,103.9,99.3,101.3,2.6,2.7,0.616,1.52,17.2,0.282,0.706,0.497,0.154,0.491,0.539,91.5,89.78,74.81,2168,0.535,1,2,16,3,1,9,2,4,3,6,3,13,8,9,12,8,7,10,2,2009-10
1610612747,Los Angeles Lakers,23,16,7,0.696,1104.0,109.5,111.3,105.1,107.0,4.4,4.3,0.526,1.57,15.6,0.347,0.684,0.516,0.137,0.502,0.546,92.4,90.85,75.71,2089,0.523,2,1,14,2,2,4,7,3,10,5,8,1,10,1,6,6,6,8,3,2009-10
1610612742,Dallas Mavericks,21,16,5,0.762,1013.0,110.1,110.7,103.4,104.7,6.7,6.0,0.584,1.56,16.7,0.296,0.683,0.494,0.145,0.519,0.571,88.9,88.06,73.39,1863,0.536,1,1,10,1,2,1,5,1,5,3,4,10,8,8,7,1,1,8,1,2010-11
1610612748,Miami Heat,21,14,7,0.667,1018.0,104.0,105.5,100.3,102.5,3.6,3.0,0.505,1.19,14.1,0.304,0.7,0.508,0.158,0.485,0.542,88.6,87.02,72.51,1846,0.526,1,2,14,2,1,4,3,3,13,12,12,9,5,5,12,5,4,11,3,2010-11
1610612748,Miami Heat,23,16,7,0.696,1114.0,106.9,108.6,98.5,101.2,8.4,7.4,0.5,1.34,14.6,0.3,0.689,0.5,0.145,0.505,0.552,90.5,88.59,73.82,2061,0.562,1,1,12,2,1,3,7,1,11,8,8,8,12,9,7,3,3,11,1,2011-12
1610612760,Oklahoma City Thunder,20,13,7,0.65,960.0,108.9,110.2,104.3,105.6,4.6,4.5,0.484,1.56,14.8,0.264,0.719,0.494,0.126,0.508,0.558,93.1,91.98,76.65,1838,0.533,2,2,12,3,3,1,9,3,14,5,7,13,5,11,2,2,2,4,2,2011-12
1610612748,Miami Heat,23,16,7,0.696,1114.0,107.7,109.0,99.8,102.2,7.9,6.8,0.574,1.57,16.9,0.289,0.672,0.487,0.147,0.518,0.559,89.8,88.16,73.46,2050,0.552,1,1,13,2,1,1,5,2,5,5,2,8,14,10,7,1,1,12,2,2012-13
1610612759,San Antonio Spurs,21,15,6,0.714,1038.0,105.9,107.6,98.8,99.7,7.0,7.9,0.574,1.7,17.2,0.277,0.708,0.502,0.138,0.511,0.547,91.9,90.73,75.61,1958,0.552,2,2,9,1,2,3,3,1,4,3,1,11,10,6,5,3,3,8,1,2012-13
1610612748,Miami Heat,20,13,7,0.65,960.0,110.5,112.0,108.7,109.6,1.8,2.3,0.516,1.5,16.1,0.223,0.718,0.476,0.14,0.555,0.594,88.0,86.98,72.48,1737,0.509,2,2,11,2,2,4,9,3,13,7,7,16,9,13,6,1,1,15,3,2013-14
1610612759,San Antonio Spurs,23,16,7,0.696,1109.0,112.7,113.3,101.1,103.1,11.6,10.2,0.559,1.77,17.5,0.263,0.723,0.505,0.134,0.546,0.583,94.8,93.55,77.96,2159,0.572,1,1,11,1,1,2,3,1,7,3,3,12,8,7,4,2,2,5,1,2013-14
