TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,SEASON
1610612744,Golden State Warriors,24,15,9,0.625,48.2,17.9,12.0,14.7,40.2,16.0,15.5,15.2,42.3,1,2,15,2,1,1,9,2,9,10,14,13,12,2015-16
1610612739,Cleveland Cavaliers,18,13,5,0.722,48.0,14.9,11.6,12.8,41.8,14.5,12.4,13.4,43.0,1,2,10,2,2,8,11,5,12,4,9,11,9,2016-17
1610612744,Golden State Warriors,17,16,1,0.941,48.0,18.0,12.2,21.0,44.4,17.4,12.5,13.5,45.1,3,1,1,1,3,4,10,1,6,14,10,12,12,2016-17
1610612739,Cleveland Cavaliers,22,12,10,0.545,48.5,13.0,11.9,9.5,42.3,14.4,12.4,13.0,46.4,1,2,16,5,1,14,9,15,11,6,10,10,13,2017-18
1610612744,Golden State Warriors,21,16,5,0.762,48.2,16.9,11.0,16.8,41.0,14.5,12.9,12.2,46.0,2,1,10,1,2,7,12,4,13,7,11,7,12,2017-18
1610612744,Golden State Warriors,22,14,8,0.636,48.5,18.4,14.4,16.3,42.4,16.1,13.7,14.5,41.5,2,2,14,3,2,2,4,4,10,8,11,10,6,2018-19
1610612761,Toronto Raptors,24,16,8,0.667,48.4,17.0,11.5,16.5,40.5,14.0,12.8,15.1,38.1,1,1,14,1,1,7,12,3,11,4,8,11,3,2018-19
1610612747,Los Angeles Lakers,21,16,5,0.762,48.0,17.6,13.6,15.1,47.6,17.1,10.8,8.4,40.6,1,1,10,1,2,3,2,2,1,13,6,1,7,2019-20
1610612748,Miami Heat,21,14,7,0.667,48.5,16.1,12.0,9.0,40.5,15.4,12.7,12.6,42.2,1,2,13,2,1,7,4,11,7,7,13,12,11,2019-20
1610612749,Milwaukee Bucks,23,16,7,0.696,48.4,14.2,16.3,14.2,50.4,14.7,11.0,8.6,39.5,1,1,13,1,1,10,1,3,3,12,5,3,2,2020-21
1610612756,Phoenix Suns,22,14,8,0.636,48.0,15.3,10.2,10.5,43.5,13.3,12.8,11.9,44.5,2,2,14,2,2,4,14,9,7,5,9,8,9,2020-21
1610612738,Boston Celtics,24,14,10,0.583,48.0,16.1,12.4,12.5,38.1,17.7,13.7,13.2,40.5,1,2,16,3,1,10,10,6,12,10,11,11,4,2021-22
1610612744,Golden State Warriors,22,16,6,0.727,48.0,16.5,14.6,12.0,44.3,16.4,13.0,11.6,40.5,2,1,10,1,2,7,3,7,9,9,8,8,5,2021-22
1610612743,Denver Nuggets,20,16,4,0.8,48.3,14.0,12.3,15.9,51.8,13.3,10.4,13.8,46.3,2,1,1,1,2,16,11,3,1,1,3,8,6,2022-23
1610612748,Miami Heat,23,13,10,0.565,48.2,17.8,11.6,10.7,43.0,15.7,12.9,12.1,46.5,1,2,16,3,1,2,12,15,14,9,7,5,9,2022-23
1610612738,Boston Celtics,19,16,3,0.842,48.3,14.7,11.0,11.6,42.4,13.4,9.5,9.8,47.6,2,1,1,1,2,6,11,12,10,5,3,3,12,2023-24
1610612742,Dallas Mavericks,22,13,9,0.591,48.0,15.1,13.3,11.7,45.9,14.8,10.9,11.7,41.5,1,2,15,3,1,4,5,10,6,9,6,7,4,2023-24
