TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612747,Los Angeles Lakers,21,14,7,0.667,48.2,36.8,78.6,0.468,7.0,19.0,0.367,22.0,29.1,0.753,8.8,30.8,39.6,20.8,13.3,7.2,5.3,4.4,23.3,25.0,102.4,2.2,2,2,13,1,4,5,9,2,5,8,3,4,6,8,16,7,11,4,11,6,6,5,12,2,1,4,2007-08
1610612747,Los Angeles Lakers,23,16,7,0.696,48.4,37.4,80.5,0.465,7.0,18.4,0.377,20.6,27.5,0.747,11.1,30.9,42.0,19.4,13.0,7.9,6.3,4.3,23.5,23.1,102.4,7.2,2,1,13,2,4,2,4,3,6,9,4,8,7,10,2,4,4,5,8,3,3,6,10,7,3,3,2008-09
1610612753,Orlando Magic,24,13,11,0.542,48.6,34.5,75.4,0.457,8.4,23.3,0.36,19.6,27.1,0.722,8.3,30.0,38.4,18.9,13.2,6.8,4.8,3.8,21.4,24.3,97.0,1.8,1,2,16,4,3,9,10,5,1,1,7,9,8,14,14,7,10,7,9,6,7,4,4,4,8,4,2008-09
1610612738,Boston Celtics,24,15,9,0.625,48.2,34.3,75.7,0.453,5.8,16.0,0.363,19.5,25.8,0.755,8.8,30.3,39.1,21.1,13.9,8.0,4.6,5.4,24.6,22.7,93.9,2.8,1,2,16,3,2,8,13,8,11,13,6,9,10,8,14,6,13,2,13,2,9,11,13,10,9,4,2009-10
1610612747,Los Angeles Lakers,23,16,7,0.696,48.0,37.3,81.2,0.46,6.8,20.7,0.33,19.6,26.0,0.754,12.8,30.1,42.9,19.7,12.5,6.7,6.2,4.8,23.2,23.3,101.1,3.8,2,1,14,2,3,4,2,7,4,4,11,8,9,9,2,8,3,6,5,6,2,9,12,8,4,3,2009-10
1610612742,Dallas Mavericks,21,16,5,0.762,48.2,34.5,74.9,0.461,8.8,22.2,0.394,20.5,25.4,0.809,9.7,28.7,38.4,20.1,12.9,7.1,4.1,5.1,20.1,21.6,98.2,5.8,1,1,10,1,7,5,13,2,1,3,2,6,8,2,11,10,12,4,8,8,12,7,3,8,3,1,2010-11
1610612748,Miami Heat,21,14,7,0.667,48.5,32.6,73.3,0.445,5.9,17.9,0.331,21.6,27.8,0.777,10.1,30.9,41.0,16.5,13.9,7.3,6.0,4.2,19.2,21.5,92.8,2.7,1,2,14,2,5,13,14,6,9,8,7,4,6,6,10,3,6,14,11,6,4,4,2,9,8,3,2010-11
1610612748,Miami Heat,23,16,7,0.696,48.4,35.0,76.0,0.46,6.8,19.7,0.347,20.6,27.7,0.744,10.2,30.3,40.4,17.5,13.0,7.3,5.0,3.8,20.6,23.9,97.3,7.1,1,1,12,2,7,5,14,3,4,4,5,3,2,9,10,11,11,9,5,6,9,2,8,3,3,1,2011-12
1610612760,Oklahoma City Thunder,20,13,7,0.65,48.0,37.2,80.0,0.465,6.8,19.2,0.355,20.1,24.5,0.82,9.3,30.5,39.8,18.0,11.6,8.7,6.9,4.1,22.4,20.9,101.3,4.0,2,2,12,3,8,3,5,2,5,5,4,4,5,2,13,10,14,7,3,2,3,3,13,8,2,3,2011-12
1610612748,Miami Heat,23,16,7,0.696,48.4,35.8,76.6,0.468,7.7,20.2,0.381,17.8,23.2,0.766,9.7,28.4,38.1,20.6,13.1,8.3,5.4,3.4,22.2,21.0,97.1,6.4,1,1,13,2,8,5,13,1,6,9,2,10,9,5,11,13,14,4,6,4,5,1,7,13,7,2,2012-13
1610612759,San Antonio Spurs,21,15,6,0.714,49.4,38.0,82.2,0.463,7.9,20.8,0.378,16.4,21.5,0.763,9.7,32.9,42.6,21.9,12.9,7.9,5.0,4.7,19.1,21.1,100.3,7.0,2,2,9,1,2,2,4,3,5,7,3,12,13,6,10,5,5,1,5,5,7,8,3,12,3,1,2012-13
1610612748,Miami Heat,20,13,7,0.65,48.0,35.4,72.2,0.491,9.3,23.5,0.396,17.2,22.0,0.78,6.0,28.1,34.0,18.3,12.2,7.4,3.9,2.8,20.7,19.6,97.3,1.8,2,2,11,2,8,9,16,2,3,5,2,12,15,5,16,15,16,13,3,5,12,1,4,15,8,3,2013-14
1610612759,San Antonio Spurs,23,16,7,0.696,48.2,39.7,80.9,0.491,8.8,21.6,0.409,18.0,23.5,0.767,9.4,32.6,42.0,22.2,12.6,8.1,3.5,3.7,19.8,21.6,106.3,9.3,1,1,11,1,7,2,8,1,5,10,1,10,10,6,12,3,7,3,5,3,13,5,1,12,4,1,2013-14
1610612739,Cleveland Cavaliers,20,14,6,0.7,48.8,34.7,82.7,0.42,9.8,28.7,0.34,19.9,26.9,0.738,12.3,34.9,47.1,18.0,13.0,6.3,6.4,4.7,20.9,22.5,99.0,4.0,2,2,12,2,6,14,16,12,2,2,8,3,3,9,2,4,3,15,6,13,3,4,7,5,8,2,2014-15
1610612744,Golden State Warriors,21,16,5,0.762,48.7,38.2,84.2,0.453,11.4,30.5,0.374,15.5,22.1,0.699,11.6,34.0,45.6,24.5,14.6,8.0,5.8,4.7,22.4,20.9,103.3,7.8,1,1,10,1,7,4,9,2,1,1,2,13,10,13,7,8,6,1,15,6,5,2,9,7,5,1,2014-15
1610612739,Cleveland Cavaliers,21,16,5,0.762,48.0,38.3,81.8,0.469,12.3,30.2,0.406,15.8,21.8,0.725,10.7,32.6,43.3,21.2,12.5,7.8,4.2,4.5,19.6,21.0,104.8,8.6,2,1,10,1,7,3,9,3,2,5,2,14,11,11,7,9,8,6,6,5,9,5,4,9,4,2,2015-16
1610612744,Golden State Warriors,24,15,9,0.625,48.2,38.9,85.6,0.455,12.8,32.4,0.393,17.1,23.3,0.735,10.5,32.7,43.2,24.3,14.0,8.0,5.5,5.2,22.0,22.1,107.7,4.4,1,2,15,2,6,1,3,5,1,1,3,8,9,10,9,8,9,1,11,4,6,10,11,4,1,4,2015-16
1610612739,Cleveland Cavaliers,18,13,5,0.722,48.0,40.9,83.1,0.493,14.2,33.9,0.42,20.1,26.2,0.767,9.2,32.9,42.2,22.1,13.1,7.4,4.7,3.8,18.8,22.3,116.2,7.9,1,2,10,2,6,2,10,2,1,4,1,4,3,11,11,6,9,6,7,10,8,4,3,4,2,2,2016-17
1610612744,Golden State Warriors,17,16,1,0.941,48.0,42.9,87.0,0.494,12.7,32.9,0.386,20.7,25.4,0.815,9.3,36.5,45.8,28.2,13.6,8.7,6.1,3.8,21.8,21.6,119.3,13.5,3,1,1,1,6,1,4,1,4,5,4,2,5,3,10,1,2,1,11,1,3,5,12,5,1,1,2016-17
1610612739,Cleveland Cavaliers,22,12,10,0.545,48.5,36.9,81.9,0.45,10.0,30.3,0.331,17.4,23.1,0.752,9.8,31.6,41.4,19.2,12.7,6.0,4.4,4.4,19.5,21.9,101.1,-1.7,1,2,16,5,5,13,14,10,9,5,15,7,7,11,3,12,10,12,5,14,9,6,4,3,14,8,2017-18
1610612744,Golden State Warriors,21,16,5,0.762,48.2,41.2,86.0,0.48,11.2,31.4,0.357,16.8,20.4,0.822,9.1,35.9,45.0,26.0,12.9,7.9,5.8,3.6,19.7,19.4,110.4,10.0,2,1,10,1,6,3,5,3,2,3,10,9,12,3,8,4,4,2,6,7,4,2,5,13,1,1,2017-18
1610612744,Golden State Warriors,22,14,8,0.636,48.5,41.1,86.1,0.477,12.2,32.7,0.372,19.8,24.3,0.813,10.1,33.2,43.3,28.4,14.9,7.4,5.7,3.9,23.2,22.3,114.1,3.4,2,2,14,3,4,1,8,1,3,10,1,5,9,3,9,11,9,1,10,7,2,4,13,7,2,3,2018-19
1610612761,Toronto Raptors,24,16,8,0.667,48.4,37.7,84.8,0.444,11.9,34.5,0.346,19.3,23.3,0.83,8.3,34.0,42.3,22.5,12.1,8.0,4.6,5.0,22.6,21.8,106.6,5.5,1,1,14,1,6,10,12,6,4,5,5,8,12,1,14,7,12,9,5,4,9,10,10,10,9,2,2018-19
1610612747,Los Angeles Lakers,21,16,5,0.762,48.0,41.0,84.0,0.489,12.1,34.2,0.354,18.6,24.6,0.758,10.6,33.5,44.1,25.6,15.4,8.0,5.3,3.1,22.7,22.4,112.8,6.9,1,1,10,1,11,2,11,1,11,11,12,7,6,13,2,11,7,2,14,3,3,1,13,7,4,1,2019-20
1610612748,Miami Heat,21,14,7,0.667,48.5,37.7,82.0,0.46,12.8,35.5,0.359,21.8,26.4,0.825,7.8,33.6,41.3,24.9,13.2,6.9,3.9,4.5,19.9,22.6,110.0,2.0,1,2,13,2,7,9,14,7,8,10,10,2,3,2,12,10,12,3,6,8,10,9,3,5,6,6,2019-20
1610612749,Milwaukee Bucks,23,16,7,0.696,48.4,42.1,91.1,0.462,11.2,35.0,0.321,14.9,20.8,0.718,12.8,36.1,49.0,22.8,12.7,7.8,4.2,3.8,18.0,20.1,110.3,5.1,1,1,13,1,4,4,3,8,10,9,14,15,11,14,1,1,1,5,10,3,9,5,1,11,9,3,2020-21
1610612756,Phoenix Suns,22,14,8,0.636,48.0,40.9,85.0,0.481,11.2,29.7,0.376,16.0,18.6,0.861,8.0,34.7,42.7,23.2,11.9,6.5,4.2,3.6,19.7,18.5,109.0,4.5,2,2,14,2,6,6,13,2,11,14,8,12,16,2,16,3,7,3,7,9,10,3,3,16,11,4,2020-21
1610612738,Boston Celtics,24,14,10,0.583,48.0,36.7,81.8,0.449,13.7,36.6,0.373,18.5,23.2,0.797,9.0,33.9,42.9,24.5,14.7,6.4,6.3,4.7,20.7,21.7,105.5,3.6,1,2,16,3,3,10,11,7,4,4,5,8,8,6,10,5,7,5,11,11,3,9,4,9,9,3,2021-22
1610612744,Golden State Warriors,22,16,6,0.727,48.0,41.4,86.1,0.48,14.0,37.3,0.375,15.1,19.8,0.766,9.8,34.1,43.9,27.0,14.5,7.7,5.0,4.9,21.5,19.3,111.9,5.0,2,1,10,1,3,1,4,3,2,2,4,15,14,13,6,4,6,1,10,6,5,12,9,15,2,1,2021-22
1610612743,Denver Nuggets,20,16,4,0.8,48.3,42.3,86.0,0.492,11.3,30.0,0.375,17.7,22.1,0.801,10.1,34.7,44.8,25.8,11.6,6.9,4.2,4.7,19.3,21.0,113.5,8.3,2,1,1,1,6,4,10,2,10,15,3,7,7,8,8,2,5,3,1,7,10,9,7,6,6,1,2022-23
1610612748,Miami Heat,23,13,10,0.565,48.2,39.7,86.8,0.458,12.8,33.7,0.38,16.1,19.8,0.813,9.2,31.0,40.3,23.6,11.7,7.0,3.6,4.7,20.1,18.7,108.3,1.5,1,2,16,3,8,10,8,7,5,10,1,10,10,5,11,11,11,8,2,5,15,11,9,11,10,4,2022-23
1610612738,Boston Celtics,19,16,3,0.842,48.3,39.3,83.8,0.469,14.5,40.2,0.36,15.7,19.3,0.812,9.7,33.4,43.1,23.8,11.5,6.3,5.4,2.2,15.7,18.0,108.8,8.1,2,1,1,1,5,6,9,4,1,1,6,9,9,7,10,1,4,5,5,9,4,1,1,12,4,1,2023-24
1610612742,Dallas Mavericks,22,13,9,0.591,48.0,38.9,83.0,0.468,11.9,33.1,0.36,16.3,22.7,0.719,10.9,32.2,43.1,21.1,12.5,6.3,5.3,4.9,19.0,19.7,106.0,2.6,1,2,15,3,6,8,12,5,6,6,7,8,6,16,5,8,3,12,12,8,5,6,8,6,8,5,2023-24
