TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612744,Golden State Warriors,24,15,9,0.625,1157.0,0.529,0.272,0.143,0.275,0.481,0.311,0.151,0.324,1,2,15,2,1,3,10,10,7,6,13,4,14,2015-16
1610612739,Cleveland Cavaliers,18,13,5,0.722,864.0,0.579,0.316,0.135,0.269,0.521,0.235,0.136,0.296,1,2,10,2,2,1,2,6,9,6,2,8,12,2016-17
1610612744,Golden State Warriors,17,16,1,0.941,816.0,0.567,0.292,0.135,0.278,0.487,0.277,0.139,0.268,3,1,1,1,3,2,7,7,8,1,5,7,8,2016-17
1610612739,Cleveland Cavaliers,22,12,10,0.545,1066.0,0.512,0.282,0.136,0.289,0.529,0.252,0.128,0.256,1,2,16,5,1,11,6,6,2,10,6,14,8,2017-18
1610612744,Golden State Warriors,21,16,5,0.762,1013.0,0.545,0.237,0.131,0.255,0.481,0.241,0.138,0.268,2,1,10,1,2,2,14,4,9,1,2,11,11,2017-18
1610612744,Golden State Warriors,22,14,8,0.636,1066.0,0.548,0.282,0.15,0.301,0.522,0.3,0.148,0.286,2,2,14,3,2,1,9,11,4,11,13,5,11,2018-19
1610612761,Toronto Raptors,24,16,8,0.667,1162.0,0.515,0.275,0.124,0.239,0.491,0.301,0.158,0.281,1,1,14,1,1,4,11,4,14,3,14,2,9,2018-19
1610612747,Los Angeles Lakers,21,16,5,0.762,1008.0,0.561,0.293,0.158,0.304,0.525,0.311,0.149,0.24,1,1,10,1,2,2,4,15,2,4,13,4,7,2019-20
1610612748,Miami Heat,21,14,7,0.667,1018.0,0.537,0.322,0.135,0.243,0.529,0.273,0.145,0.269,1,2,13,2,1,6,2,7,10,6,6,7,11,2019-20
1610612749,Milwaukee Bucks,23,16,7,0.696,1114.0,0.524,0.228,0.13,0.31,0.523,0.197,0.134,0.235,1,1,13,1,1,9,12,11,2,6,1,3,3,2020-21
1610612756,Phoenix Suns,22,14,8,0.636,1056.0,0.547,0.219,0.124,0.234,0.507,0.259,0.123,0.275,2,2,14,2,2,6,15,7,15,3,9,9,9,2020-21
1610612738,Boston Celtics,24,14,10,0.583,1152.0,0.533,0.283,0.154,0.271,0.501,0.232,0.139,0.287,1,2,16,3,1,7,9,11,10,2,2,10,10,2021-22
1610612744,Golden State Warriors,22,16,6,0.727,1056.0,0.561,0.23,0.149,0.283,0.522,0.27,0.142,0.269,2,1,10,1,2,2,14,9,7,6,9,8,7,2021-22
1610612743,Denver Nuggets,20,16,4,0.8,965.0,0.557,0.257,0.121,0.3,0.515,0.244,0.115,0.238,2,1,1,1,2,3,7,2,5,5,7,16,4,2022-23
1610612748,Miami Heat,23,13,10,0.565,1109.0,0.531,0.228,0.123,0.272,0.534,0.283,0.141,0.292,1,2,16,3,1,5,12,3,11,10,13,5,8,2022-23
1610612738,Boston Celtics,19,16,3,0.842,917.0,0.555,0.23,0.123,0.276,0.528,0.166,0.125,0.238,2,1,1,1,2,2,9,5,9,7,1,8,2,2023-24
1610612742,Dallas Mavericks,22,13,9,0.591,1056.0,0.54,0.273,0.134,0.298,0.515,0.238,0.125,0.278,1,2,15,3,1,4,6,12,7,4,7,9,7,2023-24
