TEAM_ID,TEAM_NAME,W_PCT,SEASON,FG3M_RANK,FG3A_RANK,FG3_PCT,PLUS_MINUS,NET_RATING,PACE,TS_PCT,EFG_PCT_x,AST_RATIO,OREB_PCT_x,DREB_PCT,REB_PCT,TM_TOV_PCT_x,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,FTA_RATE,EFG_PCT_y,OREB_PCT_y,TM_TOV_PCT_y,WON_FINALS
1610612748,Miami Heat,0.696,2011-12,4,4,0.347,7.1,7.4,88.59,0.552,0.505,14.6,0.3,0.689,0.5,0.145,16.8,12.3,12.6,41.7,13.3,12.8,10.3,38.3,0.364,0.505,0.3,0.145,1
1610612759,San Antonio Spurs,0.714,2012-13,5,7,0.378,7.0,7.9,90.73,0.547,0.511,17.2,0.277,0.708,0.502,0.138,15.2,12.6,12.3,42.7,14.4,13.7,8.7,38.7,0.261,0.511,0.277,0.138,0
1610612748,Miami Heat,0.696,2012-13,6,9,0.381,6.4,6.8,88.16,0.559,0.518,16.9,0.289,0.672,0.487,0.147,18.4,13.7,11.1,39.0,13.9,13.9,8.8,39.3,0.303,0.518,0.289,0.147,1
1610612759,San Antonio Spurs,0.696,2013-14,5,10,0.409,9.3,10.2,93.55,0.583,0.546,17.5,0.263,0.723,0.505,0.134,17.1,12.4,12.9,43.8,13.2,11.5,11.0,38.3,0.291,0.546,0.263,0.134,1
1610612748,Miami Heat,0.65,2013-14,3,5,0.396,1.8,2.3,86.98,0.594,0.555,16.1,0.223,0.718,0.476,0.14,16.3,9.5,9.7,37.9,13.1,11.9,8.8,37.6,0.305,0.555,0.223,0.14,0
1610612744,Golden State Warriors,0.762,2014-15,1,1,0.374,7.8,8.2,95.13,0.55,0.521,18.3,0.285,0.707,0.501,0.152,15.7,13.3,19.0,41.0,15.9,11.8,11.9,41.9,0.263,0.521,0.285,0.152,1
1610612739,Cleveland Cavaliers,0.7,2014-15,2,2,0.34,4.0,4.4,91.47,0.524,0.479,14.2,0.327,0.728,0.527,0.139,13.8,15.2,6.6,38.2,14.1,13.8,10.7,39.7,0.325,0.479,0.327,0.139,0
1610612739,Cleveland Cavaliers,0.762,2015-16,2,5,0.406,8.6,9.5,91.4,0.573,0.544,16.8,0.307,0.745,0.528,0.137,17.5,14.3,13.6,38.7,13.5,10.6,8.4,36.9,0.267,0.544,0.307,0.137,1
1610612744,Golden State Warriors,0.625,2015-16,1,1,0.393,4.4,4.5,97.83,0.562,0.529,17.9,0.275,0.676,0.482,0.143,17.9,12.0,14.7,40.2,16.0,15.5,15.2,42.3,0.272,0.529,0.275,0.143,0
1610612744,Golden State Warriors,0.941,2016-17,4,5,0.386,13.5,12.9,100.68,0.608,0.567,20.0,0.278,0.732,0.522,0.135,18.0,12.2,21.0,44.4,17.4,12.5,13.5,45.1,0.292,0.567,0.278,0.135,1
1610612739,Cleveland Cavaliers,0.722,2016-17,1,4,0.42,7.9,8.1,96.89,0.614,0.579,16.9,0.269,0.704,0.497,0.135,14.9,11.6,12.8,41.8,14.5,12.4,13.4,43.0,0.316,0.579,0.269,0.135,0
1610612744,Golden State Warriors,0.762,2017-18,2,3,0.357,10.0,10.7,97.73,0.581,0.545,19.2,0.255,0.732,0.508,0.131,16.9,11.0,16.8,41.0,14.5,12.9,12.2,46.0,0.237,0.545,0.255,0.131,1
1610612739,Cleveland Cavaliers,0.545,2017-18,9,5,0.331,-1.7,-2.8,92.13,0.55,0.512,15.3,0.289,0.744,0.513,0.136,13.0,11.9,9.5,42.3,14.4,12.4,13.0,46.4,0.282,0.512,0.289,0.136,0
1610612744,Golden State Warriors,0.636,2018-19,3,10,0.372,3.4,3.1,98.57,0.589,0.548,20.0,0.301,0.714,0.513,0.15,18.4,14.4,16.3,42.4,16.1,13.7,14.5,41.5,0.282,0.548,0.301,0.15,0
1610612761,Toronto Raptors,0.667,2018-19,4,5,0.346,5.5,5.6,96.25,0.561,0.515,17.2,0.239,0.719,0.483,0.124,17.0,11.5,16.5,40.5,14.0,12.8,15.1,38.1,0.275,0.515,0.239,0.124,1
1610612747,Los Angeles Lakers,0.762,2019-20,11,11,0.354,6.9,6.9,97.52,0.595,0.561,18.7,0.304,0.76,0.534,0.158,17.6,13.6,15.1,47.6,17.1,10.8,8.4,40.6,0.293,0.561,0.304,0.158,1
1610612748,Miami Heat,0.667,2019-20,8,10,0.359,2.0,1.9,96.57,0.587,0.537,18.7,0.243,0.731,0.493,0.135,16.1,12.0,9.0,40.5,15.4,12.7,12.6,42.2,0.322,0.537,0.243,0.135,0
1610612756,Phoenix Suns,0.636,2020-21,11,14,0.376,4.5,4.2,96.09,0.585,0.547,17.9,0.234,0.725,0.494,0.124,15.3,10.2,10.5,43.5,13.3,12.8,11.9,44.5,0.219,0.547,0.234,0.124,0
1610612749,Milwaukee Bucks,0.696,2020-21,10,9,0.321,5.1,5.3,97.51,0.55,0.524,16.7,0.31,0.765,0.531,0.13,14.2,16.3,14.2,50.4,14.7,11.0,8.6,39.5,0.228,0.524,0.31,0.13,1
1610612738,Boston Celtics,0.583,2021-22,4,4,0.373,3.6,3.9,95.79,0.574,0.533,18.5,0.271,0.713,0.5,0.154,16.1,12.4,12.5,38.1,17.7,13.7,13.2,40.5,0.283,0.533,0.271,0.154,0
1610612744,Golden State Warriors,0.727,2021-22,2,2,0.375,5.0,4.9,97.61,0.59,0.561,19.6,0.283,0.731,0.515,0.149,16.5,14.6,12.0,44.3,16.4,13.0,11.6,40.5,0.23,0.561,0.283,0.149,1
1610612748,Miami Heat,0.565,2022-23,5,10,0.38,1.5,1.9,94.87,0.567,0.531,17.9,0.272,0.708,0.487,0.123,17.8,11.6,10.7,43.0,15.7,12.9,12.1,46.5,0.228,0.531,0.272,0.123,0
1610612743,Denver Nuggets,0.8,2022-23,10,15,0.375,8.3,8.0,95.18,0.593,0.557,19.1,0.3,0.762,0.538,0.121,14.0,12.3,15.9,51.8,13.3,10.4,13.8,46.3,0.257,0.557,0.3,0.121,1
1610612738,Boston Celtics,0.842,2023-24,1,1,0.36,8.1,8.6,92.6,0.589,0.555,18.4,0.276,0.762,0.521,0.123,14.7,11.0,11.6,42.4,13.4,9.5,9.8,47.6,0.23,0.555,0.276,0.123,1
1610612742,Dallas Mavericks,0.591,2023-24,6,6,0.36,2.6,2.6,93.48,0.569,0.54,16.4,0.298,0.722,0.514,0.134,15.1,13.3,11.7,45.9,14.8,10.9,11.7,41.5,0.273,0.54,0.298,0.134,0
