TEAM_ID,TEAM_NAME,W_PCT,SEASON,FG3M_RANK,FG3A_RANK,FG3_PCT,PLUS_MINUS,NET_RATING,PACE,TS_PCT,EFG_PCT_x,AST_RATIO,OREB_PCT_x,DREB_PCT,REB_PCT,TM_TOV_PCT_x,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,FTA_RATE,EFG_PCT_y,OREB_PCT_y,TM_TOV_PCT_y,WON_FINALS
1610612748,Miami Heat,0.697,2011-12,20,23,0.359,6.0,6.4,92.07,0.549,0.505,15.9,0.299,0.693,0.504,0.163,19.7,12.5,13.7,42.5,16.6,13.1,11.9,36.6,0.307,0.505,0.299,0.163,1
1610612759,San Antonio Spurs,0.707,2012-13,7,7,0.376,6.4,6.7,95.31,0.568,0.531,19.1,0.243,0.715,0.493,0.153,17.4,10.1,13.7,44.6,16.4,12.5,14.2,40.0,0.258,0.531,0.243,0.153,0
1610612748,Miami Heat,0.805,2012-13,3,6,0.396,7.9,8.2,91.26,0.588,0.552,18.4,0.264,0.678,0.485,0.151,18.6,10.4,11.9,41.5,15.7,14.7,11.9,39.9,0.297,0.552,0.264,0.151,1
1610612759,San Antonio Spurs,0.756,2013-14,12,16,0.397,7.7,8.1,95.87,0.571,0.537,19.0,0.261,0.725,0.503,0.15,16.5,12.0,13.2,45.9,16.3,12.7,12.8,42.2,0.24,0.537,0.261,0.15,1
1610612748,Miami Heat,0.659,2013-14,14,15,0.364,4.8,5.1,91.9,0.59,0.554,18.1,0.244,0.686,0.476,0.159,19.3,9.7,13.2,45.2,17.4,13.3,12.0,41.1,0.3,0.554,0.244,0.159,0
1610612744,Golden State Warriors,0.817,2014-15,2,4,0.398,10.1,9.9,99.28,0.571,0.54,19.7,0.273,0.703,0.498,0.145,19.7,12.5,20.9,45.3,15.2,14.2,13.9,41.6,0.239,0.54,0.273,0.145,1
1610612739,Cleveland Cavaliers,0.646,2014-15,4,2,0.367,4.5,4.8,93.23,0.557,0.52,17.1,0.311,0.711,0.513,0.152,16.0,12.7,11.3,41.0,16.2,12.4,11.8,42.7,0.287,0.52,0.311,0.152,0
1610612739,Cleveland Cavaliers,0.695,2015-16,2,3,0.362,6.0,6.3,93.82,0.558,0.524,17.4,0.294,0.742,0.519,0.143,16.3,13.2,11.8,41.0,15.5,11.2,11.2,40.8,0.259,0.524,0.294,0.143,1
1610612744,Golden State Warriors,0.89,2015-16,1,1,0.416,10.8,10.6,100.24,0.593,0.563,20.4,0.267,0.72,0.507,0.15,17.1,12.2,20.9,44.6,16.6,13.8,14.5,45.1,0.25,0.563,0.267,0.15,0
1610612744,Golden State Warriors,0.817,2016-17,4,5,0.383,11.6,11.4,100.37,0.597,0.563,21.2,0.272,0.709,0.504,0.146,19.3,12.6,22.6,46.6,16.7,14.0,14.4,45.4,0.259,0.563,0.272,0.146,1
1610612739,Cleveland Cavaliers,0.622,2016-17,2,2,0.384,3.2,3.1,96.74,0.58,0.547,17.1,0.264,0.722,0.499,0.14,14.6,11.5,12.9,39.5,16.6,13.7,13.3,44.5,0.275,0.547,0.264,0.14,0
1610612744,Golden State Warriors,0.707,2017-18,8,17,0.391,6.0,5.9,100.35,0.603,0.569,20.9,0.243,0.712,0.497,0.153,17.3,10.3,19.3,44.1,18.5,13.7,14.1,47.4,0.239,0.569,0.243,0.153,1
1610612739,Cleveland Cavaliers,0.61,2017-18,3,5,0.372,0.9,1.0,98.72,0.584,0.547,17.5,0.243,0.73,0.492,0.139,16.1,11.2,12.5,44.2,16.5,12.7,11.3,47.0,0.275,0.547,0.243,0.139,0
